"id","sharemediatext","postlength","seniority","job_function","industry","continent","gender","connections","profile_completeness","company_size","ssi"
"128566900117144571","10 ways to get new business through LinkedIn 1) Look at the ""People Also Viewed"" Sidebar 2) Reach Out to Prospects in New Roles 3) Investigate Your Competitors' Networks 4) Scroll Through Skill Endorsements 5) Use Alumni Search 6) See Who’s Commented On Your Prospects’ Posts 7) Browse Users Who Have Interacted With Your Posts 8) Use Boolean Google Search 9) Join LinkedIn Groups 10) Use LinkedIn Sales Navigator  Read more at https://lnkd.in/edhpNwj or contact  P: +233 (0) 54 2926819 +233 (0) 23 344 5505  +233 (0) 50 026 2011 for support","92","Manager","Marketing","Tech & Media","Africa","Male","875","69","1-10","63"
"117986428837854411","LinkedIn Introduces Rapportive Replacement: Sales Navigator Lite","7","Senior","Marketing","Prof Services","Asia","Male","4974","81","1-10","0"
"117986428837854411","LinkedIn Introduces Rapportive Replacement: Sales Navigator Lite","7","Senior","Marketing","Prof Services","Asia","Male","4974","81","1-10","0"
"92512586521577785","In every Enterprise Sale, there are many hidden landmines, lurking beneath the surface, out of sight, just waiting to derail your best efforts.  Type 'Yes' in the comments field below to receive a copy of our Enterprise Sales Navigator","39","Senior","Media and Communication","Prof Services","Europe","Male","11681","78","1-10","88"
"86481815951086591","#SEONews from #SearchEngineJournal - 5 Ways to Drive More Qualified Leads With LinkedIn Sales Navigator by Jasmine… https://t.co/GNYYb0IyhK - from http://ift.tt/2bHSXXb","21","Director","Marketing","Prof Services","North America","Male","2243","65","1-10","61"
"114599002115364248","We've put together this quick guide to get the most out of prospecting with LinkedIn Sales Navigator and various contact building tools.  http://bit.ly/2LWmXBf","23","Entry","Marketing","Prof Services","North America","Male","420","75","1-10","33"
"137957804265399052","Here Are the Details on All of the Updates to LinkedIn Sales Navigator – Adweek","15","Senior","Marketing","Prof Services","North America","Male","1527","72","1-10","62"
"74826428202833499","As a sales professional you want to make sure you're connected with multiple decision makers and influencers within each organization. Sales Navigator can save you time in identifying valuable contacts.  #LinkedIn #DigitalSales #Sales #SalesNavigator #SalesTips  #ModernSelling","32","Senior","Marketing","Prof Services","North America","Male","4852","74","1-10","87"
"74826428202833499","As a sales professional you want to make sure you're connected with multiple decision makers and influencers within each organization. Sales Navigator can save you time in identifying valuable contacts. #LinkedIn #DigitalSales #Sales #SalesNavigator #Sal…lnkd.in/dhQNqaS","35","Senior","Marketing","Prof Services","North America","Male","4852","74","1-10","87"
"74826428202833499","As a sales professional you want to make sure you're connected with multiple decision makers and influencers within each organization. Sales Navigator can save you time in identifying valuable contacts. #LinkedIn #DigitalSales #Sales #SalesNavigator #Sal…lnkd.in/dhQNqaS","35","Senior","Marketing","Prof Services","North America","Male","4852","74","1-10","87"
"107946305582175908","LinkedIn announced a number of new features and updates for its Sales Navigator sales tool.  The updates include new partners to the Sales Navigator Application Platform, a redesigned account page, auto-saved search preferences, custom sales alerts, and seat transfers.  Any power users out there with an opinion on these changes?  ","50","Senior","Marketing","Prof Services","North America","Male","5380","91","1-10","67"
"125593432854787372","LinkedIn Marketing is without a doubt the most efficient way for B2B companies to scale.  Imagine you had the ability to develop rapport with prospects, build an email list of people that you've actually spoken to, AND save money on advertising.   Well, you can stop imagining... It's now time to get connecting on LinkedIn!  Here's how you can start today.  1. Optimise Your Profile  2. Get on Sales Navigator  3. Start Connecting  4. Consistent Follow Up  I go deep into all this and more in my latest blog post. https://lnkd.in/fnQHMEN  #LinkedIn #Infusionsoft #Marketing Direct MSGing","94","Entry","Marketing","Prof Services","Oceania","Male","13437","71","1-10","81"
"117986428837854411","LinkedIn releases new updates to Sales Navigator","7","Senior","Marketing","Prof Services","Asia","Male","4974","81","1-10","0"
"117986428837854411","LinkedIn releases new updates to Sales Navigator","7","Senior","Marketing","Prof Services","Asia","Male","4974","81","1-10","0"
"75679439034931713","Truly excited to see the market reaction to these upcoming releases. As an avid LinkedIn user since my early college days, it's been fun seeing LinkedIn grow from an online resume to its current state as a complete platform that sales organizations are building around in four major ways:  1) Deepening marketing and sales alignment. As a salesperson, have you ever felt like there isn't an easy way to enable marketing to target the leads and accounts you actually care about? That's solved by connecting Sales Navigator to LinkedIn Campaign manager.  2) Data centralization: Don't have a streamlined view of customer data across your various sales tools? Sales Navigator Application Platform integrates Sales Navigator across the Business Intelligence, Marketing Automation, eSignature, Web Conference, CRM and Sales Acceleration tools you already use.  3) Sales leader pipeline management and visibility: Wish you had a dashboard showing updated trigger events on your key deals, so you could coach your team and improve forecast accuracy? Check out Dealbook.  4) Sales Ops & sales teams: Do you spend time, energy and resources on improving CRM data accuracy? LinkedIn will now help notify you when someone's actual role differs from what's in your CRM.  https://lnkd.in/gn4uxhb","197","Senior","Unknown","Tech & Media","North America","Male","3711","75","1-10","76"
"106948448482731215","Sales Navigator Grows Up and Plays Well With Others","9","Director","Unknown","Prof Services","Oceania","Male","17447","75","1-10","78"
"131367003571713971","""Tools of the trade"" - Sales  What's your favourite tools for Sales/prospecting??  As we speak to lot's of Sales people using numerous tools; here are some of their top picks:    1 - LinkedIn Premium Business or Sales Navigator.   2 - Lusha - Great for finding out contact details via linkedin. 3-  Hubspot.  4- Grammarly - If you're as bat at spelling as me.  5- Owler  6- Siftery  7- Marketo 8 - Tableau   What tools do you use for Sales?? Do you use any of the above??","84","Director","Unknown","Staffing","Oceania","Male","7840","67","1-10","81"
"110424948107671159","Sales is a race: why enter the race with a slow car? If LinkedIn is a good and reliable family runabout, then Sales Navigator is a  high-performance vehicle. Unless I am missing something...sales leaders on the 'basic model' of free LinkedIn are selling themselves short.  #SalesNavigator #SocialSelling #CompetitiveAdvantage","48","Director","Unknown","Prof Services","Oceania","Male","8025","68","1-10","80"
"120028854944780749","#SayDigitalMedia #SocialSkim: LinkedIn's New Sales Navigator, Snapchat's Transformative Feature: 11 Stories This Week","13","Director","Unknown","Prof Services","Europe","Male","3227","71","1-10","71"
"125311111665481856","17 LinkedIn Sales Navigator Secrets All the Best Prospectors Know","10","Director","Unknown","Prof Services","Europe","Male","604","62","1-10","56"
"130382326652602470","LinkedIn releases powerful updates to Sales Navigator, Liam Halpin explains why","11","Director","Unknown","Prof Services","Europe","Male","1401","72","1-10","72"
"135956852114700342","LinkedIn Premium Question:  Do I purchase:  - Recruiter Lite - £935.28 pa - Sales Navigator Professional - £647.88 pa  I know it's only another tool to have in my recruitment 'kit bag' but I can't decide on the above 2 options and am wondering if the additional few features (and additional 10 in-mails) with Recruiter Lite are worth the extra £££'s.  I'm open to hearing people's opinions on this.....","69","Director","Unknown","Staffing","Europe","Male","2536","62","1-10","76"
"129050036649963354","5 Ways to Drive More Qualified Leads With LinkedIn Sales Navigator","11","Director","Unknown","Prof Services","Europe","Male","1874","67","1-10","0"
"125311111665481856","Real World Tips & Tricks to Maximize Lead Gen Efficiency with LinkedIn Sales Navigator","14","Director","Unknown","Prof Services","Europe","Male","604","62","1-10","56"
"131821379271640995","Conducting some research on social marketing... does anyone use LinkedIn Sales Navigator? Does it work for you?  Personally, I think it wrongly classes people as 'leads'. Just because someone works in a target prospect company & perhaps holds the right job role doesn't necessarily make them a lead. It would be neater to catch people's posts when they're in the market. Not sure how best people catch posts by prospective clients that start with ""I'm looking for x..."".   Any thoughts?","80","Director","Unknown","Prof Services","Europe","Male","344","51","1-10","55"
"75308970917427943","Is there any use / relevance for this LI SSI Index?  My Social Selling Index on LinkedIn is 74. Could you get it higher with fine-tuning or using Sales Navigator? Even if it was higher, so what?","37","Senior","Unknown","Oil & Energy","Europe","Male","2249","70","1-10","74"
"89925711745964792","Don't waste your cash on Sales Navigator - Try These 2 New LinkedIn Search hacks! http://hubs.ly/H08mx9t0","16","Director","Unknown","Tech & Media","Europe","Male","841","77","1-10","65"
